"Inventory ID","URI","Thickness","Unit"
"09_840","http://www.ashmolean.org/id/object/AN1909.840","1,3","http://qudt.org/vocab/unit/CM"
"1891_471","http://www.ashmolean.org/id/object/AN1891.471","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 1","http://collection.britishmuseum.org/id/object/GAA58725","3,8","http://qudt.org/vocab/unit/CM"
"1909 3-10 10","http://collection.britishmuseum.org/id/object/GAA58719","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 100","http://collection.britishmuseum.org/id/object/GAA58780","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 101","http://collection.britishmuseum.org/id/object/GAA58782","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 102","http://collection.britishmuseum.org/id/object/GAA58783","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 103","http://collection.britishmuseum.org/id/object/GAA58789","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 104","http://collection.britishmuseum.org/id/object/GAA58795","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 105","http://collection.britishmuseum.org/id/object/GAA58790","1,3666667","http://qudt.org/vocab/unit/CM"
"1909 3-10 106","http://collection.britishmuseum.org/id/object/GAA58794","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 107","http://collection.britishmuseum.org/id/object/GAA58791","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 108","http://collection.britishmuseum.org/id/object/GAA58792","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 109","http://collection.britishmuseum.org/id/object/GAA58793","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 11","http://collection.britishmuseum.org/id/object/GAA58718","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 110","http://collection.britishmuseum.org/id/object/GAA58712","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 111","http://collection.britishmuseum.org/id/object/GAA58800","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 112","http://collection.britishmuseum.org/id/object/GAA58799","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 113","http://collection.britishmuseum.org/id/object/GAA58701","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 114","http://collection.britishmuseum.org/id/object/GAA58788","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 115","http://collection.britishmuseum.org/id/object/GAA58797","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 119","http://collection.britishmuseum.org/id/object/GAA58730","1,55","http://qudt.org/vocab/unit/CM"
"1909 3-10 12","http://collection.britishmuseum.org/id/object/GAA58804","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 123","http://collection.britishmuseum.org/id/object/GAA58716","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 124","http://collection.britishmuseum.org/id/object/GAA58717","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 125","http://collection.britishmuseum.org/id/object/GAA58735","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 126","http://collection.britishmuseum.org/id/object/GAA58723","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 127","http://collection.britishmuseum.org/id/object/GAA58724","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 128","http://collection.britishmuseum.org/id/object/GAA58697","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 129","http://collection.britishmuseum.org/id/object/GAA58699","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 13","http://collection.britishmuseum.org/id/object/GAA58802","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 130","http://collection.britishmuseum.org/id/object/GAA58700","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 131","http://collection.britishmuseum.org/id/object/GAA58695","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 132","http://collection.britishmuseum.org/id/object/GAA58696","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 133","http://collection.britishmuseum.org/id/object/GAA58757","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 134","http://collection.britishmuseum.org/id/object/GAA58703","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 135","http://collection.britishmuseum.org/id/object/GAA58698","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 136","http://collection.britishmuseum.org/id/object/GAA58760","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 139","http://collection.britishmuseum.org/id/object/GAA58761","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 14","http://collection.britishmuseum.org/id/object/GAA58805","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 140","http://collection.britishmuseum.org/id/object/GAA58714","2,0111111","http://qudt.org/vocab/unit/CM"
"1909 3-10 141","http://collection.britishmuseum.org/id/object/GAA58803","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 142","http://collection.britishmuseum.org/id/object/GAA58762","0,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 143","http://collection.britishmuseum.org/id/object/GAA58758","1,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 146","http://collection.britishmuseum.org/id/object/GAA58692","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 147A","http://collection.britishmuseum.org/id/object/GAA58711","1,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 147B","http://collection.britishmuseum.org/id/object/GAA58711","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 147C","http://collection.britishmuseum.org/id/object/GAA58711","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 148","http://collection.britishmuseum.org/id/object/GAA58693","1,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 15","http://collection.britishmuseum.org/id/object/GAA58812","1,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 16","http://collection.britishmuseum.org/id/object/GAA58813",1,"http://qudt.org/vocab/unit/CM"
"1909 3-10 17","http://collection.britishmuseum.org/id/object/GAA58720","0,8","http://qudt.org/vocab/unit/CM"
"1909 3-10 18","http://collection.britishmuseum.org/id/object/GAA58810","1,7333333","http://qudt.org/vocab/unit/CM"
"1909 3-10 19","http://collection.britishmuseum.org/id/object/GAA58811","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 2","http://collection.britishmuseum.org/id/object/GAA58722","2,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 20","http://collection.britishmuseum.org/id/object/GAA58808","0,8","http://qudt.org/vocab/unit/CM"
"1909 3-10 21","http://collection.britishmuseum.org/id/object/GAA58809","2,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 22","http://collection.britishmuseum.org/id/object/GAA58807","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 23","http://collection.britishmuseum.org/id/object/GAA58741","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 24","http://collection.britishmuseum.org/id/object/GAA58737","2,9","http://qudt.org/vocab/unit/CM"
"1909 3-10 25","http://collection.britishmuseum.org/id/object/GAA58740","3,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 26","http://collection.britishmuseum.org/id/object/GAA58738","2,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 27","http://collection.britishmuseum.org/id/object/GAA58744","3,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 3","http://collection.britishmuseum.org/id/object/GAA58721","1,55","http://qudt.org/vocab/unit/CM"
"1909 3-10 31","http://collection.britishmuseum.org/id/object/GAA58704","2,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 32","http://collection.britishmuseum.org/id/object/GAA58691","1,9","http://qudt.org/vocab/unit/CM"
"1909 3-10 33","http://collection.britishmuseum.org/id/object/GAA58690","2,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 34A","http://collection.britishmuseum.org/id/object/GAA58752","1,05","http://qudt.org/vocab/unit/CM"
"1909 3-10 34B","http://collection.britishmuseum.org/id/object/GAA58752","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 4","http://collection.britishmuseum.org/id/object/GAA58706","0,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 46","http://collection.britishmuseum.org/id/object/GAA58710","1,95","http://qudt.org/vocab/unit/CM"
"1909 3-10 47","http://collection.britishmuseum.org/id/object/GAA58727","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 48","http://collection.britishmuseum.org/id/object/GAA58742","1,5666667","http://qudt.org/vocab/unit/CM"
"1909 3-10 49","http://collection.britishmuseum.org/id/object/GAA58745","1,1666667","http://qudt.org/vocab/unit/CM"
"1909 3-10 5","http://collection.britishmuseum.org/id/object/GAA58814","0,95","http://qudt.org/vocab/unit/CM"
"1909 3-10 50","http://collection.britishmuseum.org/id/object/GAA58750",1,"http://qudt.org/vocab/unit/CM"
"1909 3-10 51","http://collection.britishmuseum.org/id/object/GAA58769","1,75","http://qudt.org/vocab/unit/CM"
"1909 3-10 52","http://collection.britishmuseum.org/id/object/GAA58776","1,2333333","http://qudt.org/vocab/unit/CM"
"1909 3-10 53","http://collection.britishmuseum.org/id/object/GAA58767","1,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 54","http://collection.britishmuseum.org/id/object/GAA58705","1,05","http://qudt.org/vocab/unit/CM"
"1909 3-10 56","http://collection.britishmuseum.org/id/object/GAA58771","2,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 57","http://collection.britishmuseum.org/id/object/GAA58770","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 58","http://collection.britishmuseum.org/id/object/GAA58765","2,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 59","http://collection.britishmuseum.org/id/object/GAA58775","0,95","http://qudt.org/vocab/unit/CM"
"1909 3-10 6","http://collection.britishmuseum.org/id/object/GAA58708","1,6333333","http://qudt.org/vocab/unit/CM"
"1909 3-10 61","http://collection.britishmuseum.org/id/object/GAA58774","1,6333333","http://qudt.org/vocab/unit/CM"
"1909 3-10 62","http://collection.britishmuseum.org/id/object/GAA58764","1,75","http://qudt.org/vocab/unit/CM"
"1909 3-10 63","http://collection.britishmuseum.org/id/object/GAA58773","2,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 66","http://collection.britishmuseum.org/id/object/GAA58726","1,8714286","http://qudt.org/vocab/unit/CM"
"1909 3-10 67","http://collection.britishmuseum.org/id/object/GAA58779",1,"http://qudt.org/vocab/unit/CM"
"1909 3-10 68","http://collection.britishmuseum.org/id/object/GAA58772","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 69","http://collection.britishmuseum.org/id/object/GAA58766","2,65","http://qudt.org/vocab/unit/CM"
"1909 3-10 7","http://collection.britishmuseum.org/id/object/GAA58801","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 70","http://collection.britishmuseum.org/id/object/GAA58681","1,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 71","http://collection.britishmuseum.org/id/object/GAA58676","1,5","http://qudt.org/vocab/unit/CM"
"1909 3-10 72","http://collection.britishmuseum.org/id/object/GAA58673","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 73","http://collection.britishmuseum.org/id/object/GAA58674","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 74","http://collection.britishmuseum.org/id/object/GAA58679","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 76","http://collection.britishmuseum.org/id/object/GAA58748","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 77","http://collection.britishmuseum.org/id/object/GAA58747","1,15","http://qudt.org/vocab/unit/CM"
"1909 3-10 78","http://collection.britishmuseum.org/id/object/GAA58682","1,05","http://qudt.org/vocab/unit/CM"
"1909 3-10 79","http://collection.britishmuseum.org/id/object/GAA58749","1,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 8","http://collection.britishmuseum.org/id/object/GAA58806","1,1","http://qudt.org/vocab/unit/CM"
"1909 3-10 80","http://collection.britishmuseum.org/id/object/GAA58731","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 81","http://collection.britishmuseum.org/id/object/GAA58675","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 82","http://collection.britishmuseum.org/id/object/GAA58680","2,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 83","http://collection.britishmuseum.org/id/object/GAA58683","1,05","http://qudt.org/vocab/unit/CM"
"1909 3-10 84","http://collection.britishmuseum.org/id/object/GAA58677","0,85","http://qudt.org/vocab/unit/CM"
"1909 3-10 85","http://collection.britishmuseum.org/id/object/GAA58732","0,9","http://qudt.org/vocab/unit/CM"
"1909 3-10 86","http://collection.britishmuseum.org/id/object/GAA58688","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 87","http://collection.britishmuseum.org/id/object/GAA58684","5,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 88","http://collection.britishmuseum.org/id/object/GAA58686","8,3","http://qudt.org/vocab/unit/CM"
"1909 3-10 89","http://collection.britishmuseum.org/id/object/GAA58787","7,6","http://qudt.org/vocab/unit/CM"
"1909 3-10 9","http://collection.britishmuseum.org/id/object/GAA58759","0,95","http://qudt.org/vocab/unit/CM"
"1909 3-10 90A","http://collection.britishmuseum.org/id/object/GAA58685","1,05","http://qudt.org/vocab/unit/CM"
"1909 3-10 90B","http://collection.britishmuseum.org/id/object/GAA58685","1,55","http://qudt.org/vocab/unit/CM"
"1909 3-10 91","http://collection.britishmuseum.org/id/object/GAA58707","1,25","http://qudt.org/vocab/unit/CM"
"1909 3-10 92","http://collection.britishmuseum.org/id/object/GAA58713","1,2","http://qudt.org/vocab/unit/CM"
"1909 3-10 93","http://collection.britishmuseum.org/id/object/GAA58785","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 94","http://collection.britishmuseum.org/id/object/GAA58687","1,4","http://qudt.org/vocab/unit/CM"
"1909 3-10 95","http://collection.britishmuseum.org/id/object/RFC49746","1,45","http://qudt.org/vocab/unit/CM"
"1909 3-10 96","http://collection.britishmuseum.org/id/object/GAA58786","1,94","http://qudt.org/vocab/unit/CM"
"1909 3-10 97","http://collection.britishmuseum.org/id/object/GAA58784","1,9","http://qudt.org/vocab/unit/CM"
"1909 3-10 98","http://collection.britishmuseum.org/id/object/GAA58781","1,35","http://qudt.org/vocab/unit/CM"
"1909 3-10 99","http://collection.britishmuseum.org/id/object/GAA58798","1,2","http://qudt.org/vocab/unit/CM"
"1912_147","http://www.ashmolean.org/id/object/AN1912.147","6,4","http://qudt.org/vocab/unit/CM"
"1930_392","http://www.ashmolean.org/id/object/AN1930.392","7,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 1","http://collection.britishmuseum.org/id/object/GAA58899","1,7833333","http://qudt.org/vocab/unit/CM"
"1968 12-13 10","http://collection.britishmuseum.org/id/object/GAA58903",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 11","http://collection.britishmuseum.org/id/object/GAA58902","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 12","http://collection.britishmuseum.org/id/object/GAA58904","0,95","http://qudt.org/vocab/unit/CM"
"1968 12-13 13","http://collection.britishmuseum.org/id/object/GAA58916","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 14","http://collection.britishmuseum.org/id/object/GAA58912","1,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 15","http://collection.britishmuseum.org/id/object/GAA58908","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 16","http://collection.britishmuseum.org/id/object/GAA58907","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 17","http://collection.britishmuseum.org/id/object/GAA58914","1,3571429","http://qudt.org/vocab/unit/CM"
"1968 12-13 18","http://collection.britishmuseum.org/id/object/GAA58910","4,55","http://qudt.org/vocab/unit/CM"
"1968 12-13 19","http://collection.britishmuseum.org/id/object/GAA58906","2,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 2","http://collection.britishmuseum.org/id/object/GAA58898","1,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 20","http://collection.britishmuseum.org/id/object/GAA58905","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 21","http://collection.britishmuseum.org/id/object/GAA58909","5,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 22","http://collection.britishmuseum.org/id/object/GAA58915","1,5","http://qudt.org/vocab/unit/CM"
"1968 12-13 23","http://collection.britishmuseum.org/id/object/GAA58913","1,4857143","http://qudt.org/vocab/unit/CM"
"1968 12-13 24","http://collection.britishmuseum.org/id/object/GAA58911","2,9333333","http://qudt.org/vocab/unit/CM"
"1968 12-13 25","http://collection.britishmuseum.org/id/object/GAA58922","2,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 26","http://collection.britishmuseum.org/id/object/GAA58930","0,9","http://qudt.org/vocab/unit/CM"
"1968 12-13 28","http://collection.britishmuseum.org/id/object/GAA58933","7,2333333","http://qudt.org/vocab/unit/CM"
"1968 12-13 29","http://collection.britishmuseum.org/id/object/GAA58932","3,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 3","http://collection.britishmuseum.org/id/object/GAA58897","4,55","http://qudt.org/vocab/unit/CM"
"1968 12-13 30","http://collection.britishmuseum.org/id/object/GAA58927","1,3","http://qudt.org/vocab/unit/CM"
"1968 12-13 31","http://collection.britishmuseum.org/id/object/GAA58931","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 32","http://collection.britishmuseum.org/id/object/GAA58926","1,05","http://qudt.org/vocab/unit/CM"
"1968 12-13 33","http://collection.britishmuseum.org/id/object/GAA58925","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 34","http://collection.britishmuseum.org/id/object/GAA58924","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 35","http://collection.britishmuseum.org/id/object/GAA58923","1,7","http://qudt.org/vocab/unit/CM"
"1968 12-13 36","http://collection.britishmuseum.org/id/object/GAA58919","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 37","http://collection.britishmuseum.org/id/object/GAA58918","1,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 38","http://collection.britishmuseum.org/id/object/GAA58917","1,1","http://qudt.org/vocab/unit/CM"
"1968 12-13 39","http://collection.britishmuseum.org/id/object/GAA58920",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 4","http://collection.britishmuseum.org/id/object/GAA58895","1,5","http://qudt.org/vocab/unit/CM"
"1968 12-13 40","http://collection.britishmuseum.org/id/object/GAA58928","3,55","http://qudt.org/vocab/unit/CM"
"1968 12-13 42","http://collection.britishmuseum.org/id/object/GAA58945",3,"http://qudt.org/vocab/unit/CM"
"1968 12-13 43","http://collection.britishmuseum.org/id/object/GAA58947",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 44","http://collection.britishmuseum.org/id/object/GAA58944","3,75","http://qudt.org/vocab/unit/CM"
"1968 12-13 45","http://collection.britishmuseum.org/id/object/GAA58948","1,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 46","http://collection.britishmuseum.org/id/object/GAA58943",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 47","http://collection.britishmuseum.org/id/object/GAA58942","3,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 48","http://collection.britishmuseum.org/id/object/GAA58946","2,8","http://qudt.org/vocab/unit/CM"
"1968 12-13 49","http://collection.britishmuseum.org/id/object/GAA58956","2,05","http://qudt.org/vocab/unit/CM"
"1968 12-13 5","http://collection.britishmuseum.org/id/object/GAA58894","1,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 50","http://collection.britishmuseum.org/id/object/GAA58955","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 51","http://collection.britishmuseum.org/id/object/GAA58952","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 53","http://collection.britishmuseum.org/id/object/GAA58953","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 54","http://collection.britishmuseum.org/id/object/GAA58951","1,35","http://qudt.org/vocab/unit/CM"
"1968 12-13 56","http://collection.britishmuseum.org/id/object/GAA58949",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 57","http://collection.britishmuseum.org/id/object/GAA95951","1,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 58","http://collection.britishmuseum.org/id/object/GAA58940","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 59","http://collection.britishmuseum.org/id/object/GAA58939","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 6","http://collection.britishmuseum.org/id/object/GAA58893","1,35","http://qudt.org/vocab/unit/CM"
"1968 12-13 61","http://collection.britishmuseum.org/id/object/GAA58937","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 62","http://collection.britishmuseum.org/id/object/GAA58934","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 64","http://collection.britishmuseum.org/id/object/GAA58941","1,1","http://qudt.org/vocab/unit/CM"
"1968 12-13 7","http://collection.britishmuseum.org/id/object/GAA58896","1,2333333","http://qudt.org/vocab/unit/CM"
"1968 12-13 8","http://collection.britishmuseum.org/id/object/GAA58900","1,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 9","http://collection.britishmuseum.org/id/object/GAA58901","1,1","http://qudt.org/vocab/unit/CM"
"462_1891","http://www.ashmolean.org/id/object/AN1891.462","1,2","http://qudt.org/vocab/unit/CM"
"464_1891","http://www.ashmolean.org/id/object/AN1891.464","1,15","http://qudt.org/vocab/unit/CM"
"465_1891","http://www.ashmolean.org/id/object/AN1891.465","0,95","http://qudt.org/vocab/unit/CM"
"466_1891","http://www.ashmolean.org/id/object/AN1891.466","1,15","http://qudt.org/vocab/unit/CM"
"467_1891","http://www.ashmolean.org/id/object/AN1891.462","1,15","http://qudt.org/vocab/unit/CM"
"469_1891","http://www.ashmolean.org/id/object/AN1891.469","1,55","http://qudt.org/vocab/unit/CM"
"470_1891","http://www.ashmolean.org/id/object/AN1891.470","1,25","http://qudt.org/vocab/unit/CM"
"472_1891","http://www.ashmolean.org/id/object/AN1891.472","1,2","http://qudt.org/vocab/unit/CM"
"473_1891","http://www.ashmolean.org/id/object/AN1891.473","1,35","http://qudt.org/vocab/unit/CM"
"474_1891","http://www.ashmolean.org/id/object/AN1891.474","1,55","http://qudt.org/vocab/unit/CM"
"480_1891","http://www.ashmolean.org/id/object/AN1891.480","1,6","http://qudt.org/vocab/unit/CM"
"481_1891","http://www.ashmolean.org/id/object/AN1891.481","1,35","http://qudt.org/vocab/unit/CM"
"551_1926","http://www.ashmolean.org/id/object/AN1926.551","1,55","http://qudt.org/vocab/unit/CM"
"91 8-6 37","http://collection.britishmuseum.org/id/object/GAA57396","1,1","http://qudt.org/vocab/unit/CM"
"91 8-6 39","http://collection.britishmuseum.org/id/object/GAA57346",1,"http://qudt.org/vocab/unit/CM"
